market_date,quantity,vendor_id,product_id,original_price
2022-07-05,7.38,7,1,6.99
2022-07-08,10.96,7,1,6.99
2022-07-12,13.08,7,1,6.99
2022-07-15,10.22,7,1,6.99
2022-07-19,10.59,7,1,6.99
2022-07-22,9.04,7,1,6.99
2022-07-26,10.66,7,1,6.99
2022-07-29,6.76,7,1,6.99
2022-08-02,11.23,7,1,6.99
2022-08-05,10.72,7,1,6.99
2022-08-09,6.98,7,1,6.99
2022-08-12,10.73,7,1,6.99
2022-08-16,10.63,7,1,6.99
2022-08-19,7.88,7,1,6.99
2022-08-23,7.84,7,1,6.99
2022-08-26,10.58,7,1,6.99
2022-08-30,9.34,7,1,6.99
2022-09-02,7.4,7,1,6.99
2022-09-06,10.13,7,1,6.99
2022-09-09,11.44,7,1,6.99
2022-09-13,8.84,7,1,6.99
2022-09-16,10.32,7,1,6.99
2022-09-20,12.73,7,1,6.99
2022-09-23,8.63,7,1,6.99
2022-09-27,6.29,7,1,6.99
2022-09-30,9.54,7,1,6.99
2023-07-04,11.92,7,1,6.99
2023-07-07,10.08,7,1,6.99
2023-07-11,11.85,7,1,6.99
2023-07-14,10.08,7,1,6.99
2023-07-18,10.01,7,1,6.99
2023-07-21,8.15,7,1,6.99
2023-07-25,8.52,7,1,6.99
2023-07-28,10.29,7,1,6.99
2023-08-01,8.52,7,1,6.99
2023-08-04,8.66,7,1,6.99
2023-08-08,15.49,7,1,6.99
2023-08-11,9.19,7,1,6.99
2023-08-15,10.51,7,1,6.99
2023-08-18,12.7,7,1,6.99
2023-08-22,10.28,7,1,6.99
2023-08-25,10.86,7,1,6.99
2023-08-29,12.34,7,1,6.99
2023-09-01,9.38,7,1,6.99
2023-09-05,14.23,7,1,6.99
2023-09-08,9.38,7,1,6.99
2023-09-12,10.75,7,1,6.99
2023-09-15,10.84,7,1,6.99
2023-09-19,10.11,7,1,6.99
2023-09-22,10.04,7,1,6.99
2023-09-26,10.19,7,1,6.99
2023-09-29,9.88,7,1,6.99
2023-10-03,13.76,7,1,6.99
2022-07-05,33.63,7,2,3.49
2022-07-08,24.56,7,2,3.49
2022-07-12,28.83,7,2,3.49
2022-07-15,29.17,7,2,3.49
2022-07-19,29.89,7,2,3.49
2022-07-22,28.31,7,2,3.49
2022-07-26,30.48,7,2,3.49
2022-07-29,26.65,7,2,3.49
2022-08-02,29.87,7,2,3.49
2022-08-05,32.23,7,2,3.49
2022-08-09,29.28,7,2,3.49
2022-08-12,27.18,7,2,3.49
2022-08-16,33.35,7,2,3.49
2022-08-19,25.58,7,2,3.49
2022-08-23,32.02,7,2,3.49
2022-08-26,17.29,7,2,3.49
2022-08-30,26.2,7,2,3.49
2022-09-02,27.87,7,2,3.49
2022-09-06,35.86,7,2,3.49
2022-09-09,31.11,7,2,3.49
2022-09-13,24.44,7,2,3.49
2022-09-16,24.16,7,2,3.49
2022-09-20,29.34,7,2,3.49
2022-09-23,28.4,7,2,3.49
2022-09-27,33.72,7,2,3.49
2022-09-30,28.91,7,2,3.49
2023-07-04,24.17,7,2,3.49
2023-07-07,31.82,7,2,3.49
2023-07-11,28.19,7,2,3.49
2023-07-14,28.49,7,2,3.49
2023-07-18,29.75,7,2,3.49
2023-07-21,36.98,7,2,3.49
2023-07-25,31.27,7,2,3.49
2023-07-28,32.9,7,2,3.49
2023-08-01,34.13,7,2,3.49
2023-08-04,24.15,7,2,3.49
2023-08-08,36.52,7,2,3.49
2023-08-11,34.16,7,2,3.49
2023-08-15,26.15,7,2,3.49
2023-08-18,28.51,7,2,3.49
2023-08-22,26.48,7,2,3.49
2023-08-25,32.86,7,2,3.49
2023-08-29,30.95,7,2,3.49
2023-09-01,28.01,7,2,3.49
2023-09-05,32.06,7,2,3.49
2023-09-08,30.06,7,2,3.49
2023-09-12,28.66,7,2,3.49
2023-09-15,29.9,7,2,3.49
2023-09-19,31.59,7,2,3.49
2023-09-22,29,7,2,3.49
2023-09-26,22.03,7,2,3.49
2023-09-29,30.16,7,2,3.49
2023-10-03,28.95,7,2,3.49
2022-07-05,70,7,3,0.5
2022-07-08,70,7,3,0.5
2022-07-12,60,7,3,0.5
2022-07-15,80,7,3,0.5
2022-07-19,60,7,3,0.5
2022-07-22,70,7,3,0.5
2022-07-26,70,7,3,0.5
2022-07-29,70,7,3,0.5
2022-08-02,80,7,3,0.5
2022-08-05,50,7,3,0.5
2022-08-09,70,7,3,0.5
2022-08-12,70,7,3,0.5
2022-08-16,80,7,3,0.5
2022-08-19,50,7,3,0.5
2022-08-23,50,7,3,0.5
2022-08-26,60,7,3,0.5
2022-08-30,80,7,3,0.5
2022-09-02,80,7,3,0.5
2022-09-06,80,7,3,0.5
2022-09-09,50,7,3,0.5
2022-09-13,60,7,3,0.5
2022-09-16,60,7,3,0.5
2022-09-20,50,7,3,0.5
2022-09-23,80,7,3,0.5
2022-09-27,80,7,3,0.5
2022-09-30,70,7,3,0.5
2023-07-04,60,7,3,0.5
2023-07-07,60,7,3,0.5
2023-07-11,50,7,3,0.5
2023-07-14,60,7,3,0.5
2023-07-18,80,7,3,0.5
2023-07-21,80,7,3,0.5
2023-07-25,60,7,3,0.5
2023-07-28,60,7,3,0.5
2023-08-01,70,7,3,0.5
2023-08-04,70,7,3,0.5
2023-08-08,70,7,3,0.5
2023-08-11,60,7,3,0.5
2023-08-15,70,7,3,0.5
2023-08-18,60,7,3,0.5
2023-08-22,70,7,3,0.5
2023-08-25,60,7,3,0.5
2023-08-29,60,7,3,0.5
2023-09-01,80,7,3,0.5
2023-09-05,50,7,3,0.5
2023-09-08,50,7,3,0.5
